SLUG	VOLET	TITRE	FICHIER	ETAT	ANCRES	PROMESSE	ETIQUETTE	RESUME
faux-soutien-technique	residentiel	Faux soutien technique : l'arnaque qui vise nos aînés	residentiel/blogue-faux-soutien-technique.html	ecrit	hameconnage	Reconnaître une fausse alerte, quoi faire dans l'ordre, et pourquoi Microsoft n'appelle jamais.	Arnaques	
ordinateur-lent	residentiel	Pourquoi votre ordinateur est lent, et quoi faire avant d'en acheter un autre		a_ecrire	windows-lent,navigateur-lent	Les vraies causes de la lenteur, ce qui se règle sans rien acheter, et quand un appareil est vraiment fini.	Performance	
wifi-maison	residentiel	WiFi qui coupe : trouver la cause avant de changer de routeur		a_ecrire	aucune-connexion,wifi-intermittent	Distinguer une panne du fournisseur, un routeur mal placé et un appareil fautif.	Réseau	
publicites-navigateur	residentiel	Fenêtres publicitaires et page d'accueil changée : nettoyer pour de bon		a_ecrire	publicites-navigateur	Ce qu'est réellement un adiciel, comment le retirer, et pourquoi il revient.	Sécurité	
courriel-bloque	residentiel	Quand le courriel ne rentre plus		a_ecrire	courriel-reception	Boîte pleine, mot de passe changé, compte piraté : les distinguer et agir.	Courriel	
mots-de-passe	residentiel	Mots de passe : le minimum qui tient vraiment		a_ecrire	mot-de-passe-oublie	Pourquoi le même mot de passe partout est le vrai danger, et par quoi commencer sans tout refaire.	Sécurité	
imprimante	residentiel	L'imprimante ne répond plus		a_ecrire	impression	La file d'impression, le pilote, le WiFi : l'ordre de vérification qui règle la majorité des cas.	Périphériques	
sauvegarde-photos	residentiel	Sauvegarder ses photos pour de vrai		a_ecrire		Ce qui compte comme une sauvegarde, ce qui n'en est pas une, et le montage le plus simple qui tienne.	Sauvegarde	
demarrage-bloque	residentiel	L'ordinateur ne démarre plus : ce qu'on peut tenter soi-même		a_ecrire	ecran-noir,demarrage-bloque	Séparer l'écran, l'alimentation et le système, et savoir quand s'arrêter.	Dépannage	
loi-25	entreprises	Loi 25 : ce qu'une PME du Québec doit réellement faire	entreprises/blogue-loi-25-pme-quebec.html	ecrit		Les obligations concrètes, sans jargon juridique, pour une équipe sans service TI.	Conformité	La Loi 25 s'applique à presque toutes les entreprises du Québec, même les plus petites. On démêle les vraies obligations et on vous donne une liste d'actions côté TI pour vous mettre en règle.
rancongiciel	entreprises	Rançongiciel : 7 réflexes pour protéger votre PME	entreprises/blogue-rancongiciel-7-reflexes-pme.html	ecrit		Les mesures qui font la différence avant l'incident, et le plan de réponse.	Cybersécurité	Une PME sur deux touchée par un rançongiciel ne s'en remet pas indemne. Voici sept mesures concrètes — de la sauvegarde 3-2-1 au plan de réponse — pour ne pas devenir la prochaine cible.
m365-pme	entreprises	Microsoft 365 pour une petite équipe : ce qu'il faut régler une fois		a_ecrire		Comptes, partage, licences : le montage de départ qui évite les dégâts plus tard.	Microsoft 365	
automatisation	entreprises	Automatiser une tâche répétitive : par où commencer		a_ecrire		Reconnaître la tâche qui vaut la peine, et ce que ça change concrètement sur une semaine.	Automatisation	
copilot	entreprises	Copilot en entreprise : ce que ça fait, ce que ça ne fait pas		a_ecrire		Les usages qui tiennent, les pièges de confidentialité, et le coût réel.	Intelligence artificielle	
